path	translation	split
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19247901.mp3	May I ask some questions?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19148677.mp3	Don't you feel cold?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19148679.mp3	I bought a watch.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205348.mp3	Help me with cooking.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19206273.mp3	I arrived yesterday.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19206277.mp3	They are two sisters	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19395293.mp3	He is currently on a business trip in Nagoya.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19395294.mp3	Even kids can understand this	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19395295.mp3	What you said is meaningless.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19382767.mp3	What are you looking for?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19382768.mp3	Hope is not a strategy.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19382770.mp3	He works at the bank.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19367226.mp3	No, you don't have to do that	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19367228.mp3	The Musical band increased the number of concerts during its tour.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19367230.mp3	He wants you to stay here.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19314631.mp3	I was just kidding.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19314632.mp3	Everything happens for a reason.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19314633.mp3	What’s the weather like?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19375155.mp3	Some of my friends can speak English well.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19375157.mp3	Take me with you.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19375159.mp3	The final decision is for students.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19219147.mp3	Initially, he had trouble adapting to his new home.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19219148.mp3	Please tell her to call me back.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19219151.mp3	Your house is three times mine.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19219153.mp3	That was a bad rabbit.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19348894.mp3	I don’t need your help.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19348895.mp3	He was so thirsty that he asked for some water.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19348896.mp3	Come and swim with me.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19348897.mp3	There was around twenty dollars.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204373.mp3	I can hardly hear you.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204374.mp3	Anything unusual or abnormal was enough to send a colleague to Molokai	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204375.mp3	Mike can speak Japanese very well.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204376.mp3	She bought eggs in dozens.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204175.mp3	Mud covered him from head to toe.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204176.mp3	Speaking in English is not easy.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204177.mp3	Some of my friends can speak English well.	test_covost
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204178.mp3	These books are mine.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19380206.mp3	Put it anywhere you want.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19380208.mp3	Let me explain why I arrived late.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19380209.mp3	Simultaneously, dozens of cooperative Commonwealth countries will be established	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19380210.mp3	I carried three books.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19322536.mp3	My mother plays piano very well.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19322537.mp3	Japan depends on the oil of the Arab countries.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19322539.mp3	According to the poet, April is the hardest month.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19322540.mp3	These is a fork missing.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19103182.mp3	You can’t swim here.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19103183.mp3	What a memory!	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19103184.mp3	This is a good question.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19103186.mp3	Her son called from New York.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19212440.mp3	My father works in a factory.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19212442.mp3	Maybe not.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19212443.mp3	I’m running.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19212444.mp3	She filled her bag with apples.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19222349.mp3	Hello, do you work here?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19222357.mp3	I work everyday except for Sundays.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19222360.mp3	They agreed on him as a president.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19222361.mp3	Everyone laughed at me.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19285859.mp3	Anyone search will find.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19285860.mp3	Don’t worry!	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19285861.mp3	All of us have succeeded in the exam.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19285862.mp3	This chair needs fixing.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19285863.mp3	Nothing is easier than getting a bad habit!	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19260121.mp3	You should keep your room clean.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19260122.mp3	I can’t remember the melody of this song.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19260123.mp3	The newspaper provides us with news.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19260124.mp3	He will not able to come owing to illness.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19260125.mp3	The computer has stopped working after an automatic system update.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19370414.mp3	I didn’t mean anything!	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19370415.mp3	Leave me alone!	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19370416.mp3	Everyone is waiting for you.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19370417.mp3	I’m not trying to deny your rights.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19370418.mp3	I’ve played a melody on the piano.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205717.mp3	Please come.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205718.mp3	Probably he will arrive soon.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205719.mp3	I met her in the street.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205720.mp3	I don’t trust him anymore.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205721.mp3	Let's pretend we are aliens	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205259.mp3	You can study here.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205260.mp3	Suddenly it started to rain.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205261.mp3	Hitler led his country to war.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205262.mp3	Who watches people will die worried.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205263.mp3	We make butter and cheese from milk.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204110.mp3	When will the film start?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204111.mp3	Please close the door.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204112.mp3	I know everything.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204113.mp3	Burke criticized himself for the smile	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204114.mp3	She is going to be married in the next year.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19330410.mp3	You should go.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19330411.mp3	Pelicans migrate from here to Florida	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19330412.mp3	She tried to kill herself.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19330413.mp3	Brian liked to remember the old days	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19330414.mp3	Let’s go!	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19206926.mp3	When will it finish?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19206927.mp3	Have you heard the news?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19206928.mp3	My parents live in the village.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19206929.mp3	What is the length of the bridge?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19206930.mp3	This castle is beautiful.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205116.mp3	I was just saying!	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205117.mp3	Don’t stand beside me.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205118.mp3	For Rami, the Arabic language was not just a new thing, but it was very hard too	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205119.mp3	When can we eat?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205120.mp3	Does Toshio like Sachiko?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19164210.mp3	Brother, help me with my homework.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19164211.mp3	If the defeated smile, the victor will lose the thrill of victory	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19164212.mp3	Please cancel this file.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19164213.mp3	I’m an atheist.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19164214.mp3	Are your hand clean?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204603.mp3	The red coat looks beautiful on you.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204605.mp3	All of these are against, Nay says.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204607.mp3	I hope to see you again.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204608.mp3	At the upper part of the smoker, you can see the smoker pot.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204612.mp3	I have gone there many times.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204828.mp3	I don’t have the address now.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204829.mp3	What made her so sad?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204830.mp3	I don’t like the way he speaks.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204831.mp3	Add some cilantro.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204832.mp3	Her legs are tall.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19249837.mp3	I don’t know.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19249838.mp3	Their matters should be discussed together.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19249839.mp3	I have to decide whether to go with him or to stay here alone.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19249847.mp3	What’s next?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19249848.mp3	Ming called her friend yesterday.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19103712.mp3	Betty refused Morel’s offer.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19103713.mp3	Finally it’s shown.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19103714.mp3	He drank some.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19103715.mp3	You look busy.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19103716.mp3	I trust you.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205289.mp3	I studied English while I was there.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205290.mp3	This book belongs to the library.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205291.mp3	I have to study for the exam.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205292.mp3	We’re traveling abroad this summer.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205293.mp3	Your dog is here.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205899.mp3	Does Toshio love Saatchico?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205900.mp3	Patience are two: Patience for what you hate and patience for what you love	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205901.mp3	I studied English when I was there.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205902.mp3	I exhausted myself by walking long distances.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19205903.mp3	I haven't seen a red kettle before.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204408.mp3	What’s the time anyways?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204409.mp3	Here they come.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204410.mp3	This word is of Greek origin.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204411.mp3	The bus has came!	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204412.mp3	This is the world fastest train.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204503.mp3	I have taken the wrong train.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204504.mp3	People laughed at him.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204505.mp3	I gave my sister a dictionary.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204506.mp3	You always blames me.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204507.mp3	Oh my God, this place looks great.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19206881.mp3	May I have your passport?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19206882.mp3	What are you looking at?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19206883.mp3	Please keep quite.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19206884.mp3	I have a cat and a dog.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19206885.mp3	This is an old book.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19117936.mp3	Keep your room clean as much as possible.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19117937.mp3	The rain continued for one week.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19117938.mp3	They say that he will never come back.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19117939.mp3	My sister looks like my grandmother.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19117940.mp3	This medicine will cure your headache.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19244091.mp3	This is my decision.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19244092.mp3	There is a boogeyman under my bed.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19244093.mp3	It’s better for you to stop smoking,	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19244094.mp3	John has left to France yesterday.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19244095.mp3	They’ll hold a party tomorrow.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19216765.mp3	When will you come back home?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19216766.mp3	It’s delicious.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19216767.mp3	I use Firefox program.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19216768.mp3	Mathematics is a hard course for me.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19216769.mp3	I feel that I’m fit.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204638.mp3	Give me the spoon.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204639.mp3	Yesterday there was an accident.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204640.mp3	Can you find her?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204641.mp3	How far is the garden from your house?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204642.mp3	Helen is seventeen years old.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204685.mp3	Who drew these paintings?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204687.mp3	It’s your decision.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204618.mp3	It’s on me.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204620.mp3	My car was stolen yesterday.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204623.mp3	Good evening.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204625.mp3	Which one do you prefer, apple or banana?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204627.mp3	Everyone laughed at me.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204660.mp3	It’s up to you.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204661.mp3	Probably the war will start.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204662.mp3	There are many beautiful buildings in the city.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19231197.mp3	Give me the salt please.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19231202.mp3	She started talking to the dog.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19231203.mp3	She didn’t want to get involved.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19231204.mp3	Being alone is better than a bad company.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19231205.mp3	We went to watch a movie yesterday.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19231211.mp3	This message is for you.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19231212.mp3	We’re living in the era of atoms.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19231214.mp3	Don’t forget to put a stamp on your letter.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19225061.mp3	Italy is a beautiful country.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19225066.mp3	There wasn’t anybody.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19225116.mp3	I want to go with you.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19225118.mp3	I went to the zoo.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19225124.mp3	“Are you okay?” “I’m fine!”	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19225142.mp3	You look pasty-faced.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19225144.mp3	Don’t cut these trees.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19225147.mp3	This flower is more beautiful than that one.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19225151.mp3	Don’t you see?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19236885.mp3	Help yourself and God will help you.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19236886.mp3	She is very smart.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19236887.mp3	This bird can’t fly.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19236888.mp3	How can I forget his kindness with me?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19236893.mp3	A day for you and a day on you	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19236910.mp3	Don’t play here.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19236911.mp3	What he said at that time shocked me.	test
